sequence_id,gesture0,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture_true,Usage,all_sensors
ANON_001405,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair,Private,True
ANON_003241,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,True
ANON_000903,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Neck - scratch,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Private,False
ANON_001399,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Public,True
ANON_002927,Eyelash - pull hair,Eyelash - pull hair,Cheek - pinch skin,Above ear - pull hair,Above ear - pull hair,Eyelash - pull hair,Cheek - pinch skin,Above ear - pull hair,Eyelash - pull hair,Eyelash - pull hair,Above ear - pull hair,Eyelash - pull hair,Write name on leg,Eyelash - pull hair,Cheek - pinch skin,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin,Above ear - pull hair,Above ear - pull hair,Cheek - pinch skin,Public,True
ANON_000865,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Public,True
ANON_000531,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,False
ANON_000605,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Private,True
ANON_000876,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Write name on leg,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Public,True
ANON_001703,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Write name on leg,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Private,True
ANON_001732,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Private,True
ANON_001768,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Text on phone,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair,Public,False
ANON_002855,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Private,True
ANON_003074,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,False
ANON_001068,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - scratch,Above ear - pull hair,Above ear - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Private,False
ANON_001884,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Write name on leg,Write name on leg,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Public,False
ANON_002207,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,False
ANON_000440,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Write name on leg,Write name on leg,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Pull air toward your face,Public,False
ANON_001618,Neck - scratch,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,True
ANON_003094,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,True
ANON_000444,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Public,False
ANON_002102,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,True
ANON_001065,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,False
ANON_002347,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Private,False
ANON_000450,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Neck - scratch,Neck - scratch,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Public,True
ANON_001338,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,True
ANON_002875,Neck - scratch,Neck - scratch,Text on phone,Forehead - pull hairline,Text on phone,Neck - pinch skin,Eyebrow - pull hair,Eyebrow - pull hair,Neck - pinch skin,Neck - pinch skin,Forehead - pull hairline,Forehead - pull hairline,Write name on leg,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Forehead - pull hairline,Forehead - pull hairline,Neck - scratch,Public,True
ANON_000632,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Public,False
ANON_000695,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Public,False
ANON_000749,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Cheek - pinch skin,Cheek - pinch skin,Above ear - pull hair,Private,True
ANON_001182,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair,Neck - scratch,Neck - scratch,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Public,True
ANON_000983,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,False
ANON_000339,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Public,False
ANON_001264,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Private,True
ANON_000659,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Public,False
ANON_002763,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Private,True
ANON_001162,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Public,False
ANON_002362,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Forehead - scratch,Forehead - scratch,Eyebrow - pull hair,Eyebrow - pull hair,Above ear - pull hair,Forehead - scratch,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,False
ANON_000309,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Write name in air,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Private,True
ANON_000170,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Public,True
ANON_001087,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Private,False
ANON_001331,Eyebrow - pull hair,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Private,True
ANON_001518,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Private,True
ANON_002833,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,True
ANON_000331,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Private,True
ANON_002286,Write name on leg,Write name on leg,Scratch knee/leg skin,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Write name on leg,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Write name on leg,Scratch knee/leg skin,Write name on leg,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Write name on leg,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Scratch knee/leg skin,Private,False
ANON_002150,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Public,True
ANON_000735,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Private,False
ANON_002064,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Neck - scratch,Neck - scratch,Above ear - pull hair,Neck - scratch,Neck - scratch,Neck - scratch,Above ear - pull hair,Neck - scratch,Forehead - pull hairline,Forehead - pull hairline,Neck - scratch,Forehead - pull hairline,Neck - scratch,Neck - scratch,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Public,False
ANON_001245,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,True
ANON_002658,Eyebrow - pull hair,Eyebrow - pull hair,Cheek - pinch skin,Above ear - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Neck - pinch skin,Neck - pinch skin,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Private,False
ANON_000734,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,True
ANON_000723,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,False
ANON_002653,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Write name on leg,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Public,False
ANON_003037,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Private,False
ANON_002185,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Public,False
